Source,Target,Effect,SE,|Effect|/SE,P_empirical,qval
D13Mit54,mom,0.708335570994334,0.797990203648326,0.887649457043332,0,< 0.00296
mom,D4Mit146,1.17644726112538,1.43328121757865,0.820807003326839,0,< 0.00296
mom,D8Mit199,0.329481476112508,0.492507104566477,0.668988270539833,0,< 0.00296
mom,D10Mit268,0.823991858601702,1.25701013543864,0.655517274977396,0,< 0.00296
mom,D4Mit166,0.416948354318654,0.637234639531774,0.654308991465088,0,< 0.00296
D15Mit180,D18Mit140,0.763668636768829,1.23267037200234,0.619523803049092,0,< 0.00296
D11Mit19,mom,0.384888715859917,0.628387017254165,0.612502654083702,0,< 0.00296
D13Mit54,D15Mit217,0.734028881145459,1.21093309628931,0.606167990118334,0,< 0.00296
mom,D17Mit247,1.21043416664174,2.00437749815834,0.603895308021519,0,< 0.00296
D6Mit1,D18Mit140,0.557171649429038,0.929033406580018,0.599732631230251,0,< 0.00296
mom,D6Mit58,0.451878485907663,0.769677556194714,0.587101029867301,0,< 0.00296
D13Mit54,D15Mit159,0.479409156207702,0.821656292657422,0.583466785919918,0,< 0.00296
D18Mit60,D1Mit411,0.905732464175834,1.57879798449533,0.573684836863631,0,< 0.00296
D2Mit133,D15Mit159,0.546926299148037,0.956568695269315,0.571758517556394,0,< 0.00296
D2Mit133,D2Mit109,0.985091324650347,1.75781074666472,0.560408068115107,0,< 0.00296
D9Mit207,D12Mit259,1.29031644899308,2.36812944467132,0.544867364364945,0,< 0.00296
D3Mit203,mom,0.322965901323934,0.602914439780977,0.535674517003206,0,< 0.00296
D15Mit13,D18Mit60,0.721493117440172,1.34870053436999,0.534954275655566,0,< 0.00296
D9Mit183,D13Mit53,0.714343296062297,1.33578227420103,0.534775247328061,0,< 0.00296
D2Mit120,D15Mit72,1.55620107149483,2.93253158494643,0.530668136528617,0,< 0.00296
D2Mit120,D1Mit46,0.678058074302962,1.27863950398497,0.530296516093665,0,< 0.00296
D18Mit140,D15Mit180,0.838313428903861,1.59498966189094,0.525591763340959,0,< 0.00296
D15Mit42,D13Mit54,1.36127200754282,2.61231885585673,0.521097187079935,0,< 0.00296
D9Mit128,D15Mit159,1.23663358098672,2.37908994653414,0.519792697534722,0,< 0.00296
D10Mit1,mom,0.147194118219176,0.283263136410932,0.519637394700174,0,< 0.00296
mom,D8Mit131,0.685395650558706,1.33025891182626,0.515234774573134,0,< 0.00296
D10Mit1,D1Mit211,0.412738798063503,0.802152705953523,0.514538933796749,0,< 0.00296
mom,D14Mit212,1.34329928735342,2.61524408605628,0.513642032311819,0,< 0.00296
D9Mit207,D15Mit159,0.451917984953486,0.885483883607405,0.510362744392818,0,< 0.00296
D18Mit140,D1Mit411,0.407000797700481,0.801107184559562,0.508047868680949,0,< 0.00296
D13Mit53,D9Mit183,0.750649014264527,1.4791892300612,0.507473282666797,0,< 0.00296
mom,D17Mit83,2.01635218257063,4.01601518078225,0.502077828843734,0,< 0.00296
D2Mit133,D7Mit89,0.603011259579127,1.20486054508623,0.500482202723279,0,< 0.00296
D2Mit133,D15Mit72,0.90269020170337,1.80899704535507,0.499000373727085,0,< 0.00296
D18Mit60,D1Mit213,1.1159069554175,2.25076827990155,0.495789355742258,0,< 0.00296
D16Mit73,D1Mit211,0.293062249226586,0.59839307736896,0.489748729238537,0,< 0.00296
D4Mit149,D12Mit259,1.22668825936359,2.50621843398631,0.489457839240475,0,< 0.00296
D13Mit54,D15Mit29,0.425240187824938,0.877422609176629,0.484646945927211,0,< 0.00296
D9Mit128,D10Mit268,0.896714807164197,1.85107935831837,0.484428073347879,0,< 0.00296
D18Mit60,D1Mit123,1.18327373383052,2.46092571363874,0.480824645487135,0,< 0.00296
mom,D6Mit55,0.318332584434125,0.662063501269734,0.480818809409691,0,< 0.00296
D15Mit159,D13Mit54,1.86467741410059,3.90818033456696,0.477121640884363,0,< 0.00296
D17Mit247,D18Mit60,0.510151534799965,1.06947969652083,0.477009088119728,0,< 0.00296
D2Mit133,D15Mit29,0.949971344385013,1.99184642418785,0.476930014708514,0,< 0.00296
D9Mit207,D1Mit76,0.642603606195916,1.35209395640786,0.475265497009645,0,< 0.00296
D7Mit155,D7Mit89,1.31443101116078,2.79246276228728,0.470706728452181,0,< 0.00296
D8Mit131,D9Mit183,1.38169522339939,2.95535906701763,0.467521946425858,0,< 0.00296
mom,D17Mit73,1.04898745662355,2.25008252341217,0.466199548553802,0,< 0.00296
D16Mit73,D1Mit123,0.330323649832761,0.710882413779311,0.464667072120465,0,< 0.00296
D9Mit207,D1Mit46,2.66218709979822,5.74167293860806,0.463660526864423,0,< 0.00296
D6Mit123,D12Mit259,1.05981407891656,2.29526019542707,0.461740277214785,0,< 0.00296
D15Mit22,D18Mit140,0.396911092627524,0.867763348643356,0.457395548277127,0,< 0.00296
D18Mit140,D1Mit123,0.346753142310501,0.760150156777577,0.456164008148672,0.001,0.0456580406498308
D15Mit13,D18Mit140,1.31131759314426,2.87665286968681,0.45584839483501,0.001,0.0456580406498308
D15Mit72,D13Mit54,1.83407160862916,4.06591040463237,0.451085101762096,0.001,0.0456580406498308
D19Mit46,D10Mit268,0.518574391679886,1.15097007092786,0.450554193178834,0.001,0.0456580406498308
D4Mit149,D10Mit268,1.04797353253709,2.33480434502089,0.448848544749354,0.001,0.0456580406498308
D2Mit120,D3Mit78,1.98653399224041,4.47252769716677,0.444163597577905,0.001,0.0456580406498308
D16Mit73,D15Mit72,0.61183019151061,1.37852598151029,0.443829278313856,0.001,0.0456580406498308
D13Mit54,D15Mit26,0.493885639879357,1.11340906359771,0.443579683358682,0.001,0.0456580406498308
mom,D17Mit61,1.84063160632772,4.16021817262364,0.442436317027797,0.001,0.0456580406498308
D9Mit207,D15Mit72,0.430153803293761,0.978882784242712,0.43943341349755,0.001,0.0456580406498308
D2Mit120,D15Mit26,1.04882951822323,2.40062184456154,0.436899097873029,0.001,0.0456580406498308
D1Mit46,D1Mit213,0.692328643995432,1.59174477389973,0.434949531701144,0.001,0.0456580406498308
D15Mit217,D13Mit54,2.18082102488455,5.04223431442747,0.432510845171259,0.001,0.0456580406498308
D2Mit109,D15Mit159,1.29778732007811,3.00797581502228,0.431448721627602,0.001,0.0456580406498308
mom,D3Mit203,0.567440249995093,1.31674327477482,0.430942204806122,0.001,0.0456580406498308
D6Mit9,D12Mit132,1.57527358220784,3.68118224814567,0.427925996601054,0.001,0.0456580406498308
D14Mit195,mom,0.321201602845904,0.750822963007148,0.427799386368589,0.001,0.0456580406498308
D12Mit262,D9Mit183,1.42535881233559,3.35484671391686,0.424865555383737,0.001,0.0456580406498308
D8Mit199,D15Mit26,1.33333864267975,3.15464551475249,0.422658785731862,0.001,0.0456580406498308
D18Mit140,D1Mit211,0.509807263907518,1.2088490382234,0.421729469758078,0.001,0.0456580406498308
D18Mit140,D1Mit213,0.315822477908473,0.749772644075562,0.421224327673183,0.001,0.0456580406498308
D9Mit128,D15Mit72,1.1870798010794,2.82850710869822,0.419684220495289,0.001,0.0456580406498308
mom,D12Mit132,0.615478723954856,1.47400542821482,0.417555262805421,0.001,0.0456580406498308
D6Mit55,D7Mit89,0.73657292727913,1.78356297470098,0.412978368427174,0.001,0.0456580406498308
D13Mit54,D15Mit42,1.15355525359737,2.81612198204165,0.409625456906186,0.001,0.0456580406498308
D6Mit55,mom,0.142748535671091,0.349091004896666,0.408914963917062,0.001,0.0456580406498308
D15Mit42,D4Mit166,0.686879656935519,1.68213178871089,0.408338788640284,0.001,0.0456580406498308
D2Mit2,D10Mit268,1.46231933033239,3.5841180183879,0.407999770886488,0.001,0.0456580406498308
D15Mit26,D13Mit54,0.832089624745357,2.05248079452832,0.405406777478071,0.001,0.0456580406498308
D2Mit120,D15Mit159,1.64711802516976,4.06399416628312,0.405295371443949,0.001,0.0456580406498308
