sex,Final.IGF.1,body.weight,pctFat,fem.dens,fem.circ,D1Mit64,D1Mit236,D1Mit7,D1Mit386,D1Mit14,D1Mit540,D1Mit17,D2Mit365,D2Mit323,D2MIT206,D2Mit395,D2MIT285,D2MIT113,D3Mit60,D3MIT131,D3MIT178,D3Mit230,D3Mit57,D3Mit19,D3Mit258,D4MIT104,D4Mit111,D4Mit15,D4Mit170,D4Mit42,D5Mit146,D5Mit66,D5Mit200,D5MIT88,D5Mit95,D5Mit143,D6Mit86,D6Mit74,D6Mit14,D6Mit52,D7Mit75,D7Mit228,D7MIT93,D7MIT7,D7Mit332,D7Mit259,D8Mit124,D8Mit292,D8MIT75,D8Mit200,D8Mit92,D9Mit90,D9Mit1001,D9Mit253,D9Mit1006,D9Mit259,D9Mit12,D9Mit151,D10Mit77,D10Mit126,D10MIT96,D10Mit14,D11Mit2,D11Mit188,D11MIT30,D11Mit213,D11Mit214,D12Mit169,D12Mit60,D12Mit201,D12Mit5,D12MIT133,D13Mit16,D13Mit88,D13Mit125,D16Mit132,D13Mit35,D14Mit98,D14MIT60,D14Mit5,D14Mit68,D14Mit75,D15MIT80,D15MIT143,D15Mit67,D15Mit242,D16Mit60,D16Mit5,D16Mit189,D16Mit86,D17Mit164,D17MIT175,D17Mit20,D17Mit39,D17Mit76,D18Mit64,D18Mit147,D18Mit123,D18Mit9,D18Mit4,D19Mit68,D19Mit40,D19MIT88,D19MIT17,D19MIT108
0,10.2,17.69,34.9,0.471,4.062,-,-,H,-,A,A,A,B,B,B,H,H,H,A,A,A,A,A,H,H,B,B,B,H,H,B,B,B,B,B,B,A,H,A,H,H,H,B,B,H,H,H,H,B,H,B,A,A,A,H,H,B,H,H,H,H,-,A,-,H,-,H,A,A,A,A,A,B,B,A,A,H,-,H,H,-,A,A,H,H,H,H,B,B,H,A,A,A,A,A,H,H,H,H,H,A,H,H,H,H
0,16.9,16.01,28.9,0.523,3.828,-,-,A,A,A,A,B,H,H,A,A,A,H,H,H,H,H,H,H,-,H,H,B,B,B,A,A,A,A,H,H,A,H,B,H,H,H,H,B,B,B,H,H,B,A,A,B,-,B,B,B,H,H,H,H,B,-,B,-,B,B,H,A,H,B,B,B,H,H,A,A,H,-,H,B,A,B,B,B,B,B,H,H,H,H,A,H,H,H,H,B,B,H,H,H,H,H,H,A,A
0,16.9,13.95,32.6,0.499,3.518,A,H,-,A,-,A,A,A,A,A,A,H,H,A,A,A,H,H,A,A,B,H,H,A,A,H,H,A,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,-,H,A,H,H,A,A,A,H,H,A,H,B,B,B,B,H,H,H,H,H,H,B,H,A,H,H,H,H,H,B,B,B,B,B,B,-,H,A,A,A,B,B,B,B,B
0,11.7,15.88,39.7,0.532,3.876,H,A,H,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,A,A,A,A,A,A,A,H,B,A,A,A,A,H,H,H,H,-,-,A,A,A,A,A,A,H,H,B,B,B,-,A,-,A,A,A,A,A,A,A,H,H,H,H,H,B,B,B,H,B,B,B,B,H,A,H,H,A,A,A,-,B,B,B,B,B,H,H,H,H,A,B,H,H,H,H
0,12.8,22.27,-,0.512,3.953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13.9,19.77,40.7,0.546,3.963,A,A,A,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,B,B,B,H,H,A,-,H,B,B,B,H,B,B,B,H,H,H,H,B,A,A,H,-,H,H,H,H,A,H,H,H,-,H,H,H,B,H,H,H,A,A,H,-,H,A,A,A,H,B,B,H,H,H,A,B,B,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H
1,10.9,23.12,48.9,0.516,3.977,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,H,H,H,H,H,A,A,H,A,A,-,B,B,A,A,B,H,H,H,H,H,H,-,B,-,B,H,-,H,H,H,H,-,H,A,H,-,H,H,A,A,A,A,A,A,-,H,-,A,-,H,-,H,H,B,H,H,B,A,B,H,H,A,A,A,H,H,H,H,H,H,H,B,B,B,A,A,H,H,A
1,5.7,23.49,42.4,0.515,3.867,B,B,B,B,-,H,H,B,B,B,B,H,H,H,H,H,H,H,A,A,A,H,H,H,H,B,B,B,B,B,-,H,H,H,H,B,B,B,B,B,B,B,H,A,A,A,H,-,H,H,B,B,B,A,B,H,-,B,B,B,B,-,H,H,A,-,A,A,A,A,H,H,B,H,H,A,A,B,A,B,B,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,A
1,-,19.59,-,0.471,3.841,A,A,A,H,B,B,H,A,H,B,B,B,B,H,H,H,B,H,H,H,A,B,B,B,-,H,A,H,H,B,-,A,H,A,A,A,A,A,A,H,H,H,H,B,-,A,H,-,H,H,H,H,H,B,B,H,-,A,H,B,B,H,A,A,A,H,H,B,B,A,A,A,B,H,H,A,A,H,A,H,H,H,H,H,H,B,B,B,B,B,H,H,A,A,A,B,H,H,H,H
0,18.2,17.91,36.4,0.546,3.852,H,H,A,H,A,A,A,H,H,H,H,H,H,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,H,H,B,A,A,H,H,H,H,H,H,H,H,-,B,A,A,A,A,A,A,A,A,A,A,H,-,-,H,H,B,H,H,H,H,B,B,B,B,B,B,B,B,B,H,B,B,B,B,H,A,B,H,H,B,B,B,H,B,B,B,B,A,A,A,H,H,H,H,H,B,B
0,17.5,19.72,46.1,0.51,3.671,H,H,H,H,H,H,H,H,A,A,A,A,A,B,B,B,B,B,H,B,H,A,A,A,H,H,H,A,A,A,H,H,B,H,H,H,A,A,A,A,H,H,B,H,H,H,H,B,B,B,H,H,H,H,-,-,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,H,B,A,H,H,H,H,H,B,A,A,A,H,H,A,A,H,H,H,H,H,H,H,H
0,14.2,21.12,47.6,0.504,4.032,-,H,H,B,A,-,A,H,-,-,-,B,B,H,H,H,-,B,B,B,H,A,A,A,A,H,H,H,H,H,B,H,A,A,A,H,-,H,H,H,-,H,B,H,A,B,A,-,A,-,-,H,-,H,-,-,-,H,H,H,H,B,A,A,A,A,A,H,H,-,B,B,A,A,H,H,B,H,A,A,A,H,-,-,H,-,A,A,H,A,H,H,H,H,H,-,A,A,H,H
0,20.5,18.05,40.3,0.539,3.626,B,B,B,A,H,B,B,B,B,-,B,H,B,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,A,A,B,B,H,H,H,A,A,H,H,B,H,B,B,A,B,H,H,H,-,H,H,H,B,-,A,H,B,B,B,B,H,B,B,B,B,B,A,H,-,B,-,H,H,H,A,A,H,A,A,H,H,B,B,B,H,H,H,H,H,H,-,H,-,H,A,A,A,A,A
0,12.9,21.46,47.9,0.514,3.588,B,B,H,-,H,H,H,A,H,H,H,H,H,-,A,A,A,A,H,H,H,A,A,A,A,H,H,A,H,A,-,H,B,H,H,B,B,H,H,-,A,H,B,B,B,H,H,H,-,H,H,A,A,H,-,H,H,B,H,H,A,A,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,A,A,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H
1,8.6,14.63,31.5,0.529,3.311,B,B,H,H,B,B,B,A,A,A,H,H,A,B,B,B,H,H,A,H,H,H,H,H,H,A,A,A,H,H,H,H,B,H,H,H,H,H,H,H,A,H,B,H,H,A,H,H,H,H,H,H,H,H,-,A,B,B,B,B,A,A,A,A,A,A,A,H,H,H,B,B,A,A,A,H,H,H,A,H,H,A,H,H,B,H,B,B,B,B,H,A,H,H,H,A,A,H,H,B
1,4.3,19.57,-,0.457,3.86,A,H,H,B,H,B,H,A,A,A,A,B,B,A,A,A,A,A,H,H,B,B,B,B,B,B,H,-,-,-,A,B,A,A,A,A,A,H,H,H,H,-,A,H,H,H,B,B,B,B,B,H,H,H,-,A,A,A,A,H,H,H,B,B,B,H,A,A,A,A,A,A,B,H,H,H,B,B,A,B,H,B,B,H,H,H,H,H,H,B,H,B,B,H,A,A,A,A,A,A
0,13.2,18.8,32.3,0.501,4.07,H,H,H,H,B,B,B,H,B,B,B,B,H,A,H,B,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,B,B,B,A,B,B,B,H,H,H,H,H,H,A,H,H,-,A,B,B,H,H,H,B,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,A,H,H,H,A,A,A,H,H,H,B,B,B,H,H,H,H,A,A,A,A,A,A
1,4.3,21.38,39.6,0.433,3.963,H,H,A,H,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,A,A,A,B,B,H,H,B,H,H,H,H,H,A,A,H,H,H,H,H,-,-,A,A,A,A,A,A,A,A,A,H,-,H,H,A,H,H,H,H,B,B,B,B,B,H,H,H,H,H,B,H,H,A,A,H,H,H,B,H,H,H,H,A,A,H,H,H,B,H,A,H,H,H,H,H,H,H
1,5,28.11,44.2,0.497,4.108,H,H,A,B,A,B,B,A,A,B,B,B,B,H,H,B,B,B,-,B,B,H,H,-,H,A,A,A,A,A,H,H,B,B,B,H,H,A,A,A,A,H,B,B,H,H,B,H,H,H,H,H,H,-,-,H,B,A,H,B,B,H,B,B,A,H,A,B,B,B,B,B,H,B,B,B,B,H,B,B,B,B,B,B,B,H,A,A,A,A,A,B,H,A,A,B,B,B,B,H
1,8.4,22.5,41.3,0.501,3.923,B,H,H,B,H,A,A,-,H,-,B,B,H,H,H,H,H,H,H,H,A,A,A,B,B,H,H,B,B,H,A,H,B,H,H,H,H,H,H,-,B,H,H,H,H,-,H,H,H,H,H,H,A,-,-,A,H,B,H,H,B,B,H,H,B,B,B,A,A,A,A,H,H,A,A,A,A,-,B,B,B,B,H,-,H,H,H,B,-,B,A,A,H,H,B,H,H,H,H,-
1,6.5,20.52,39.2,0.502,4.009,B,H,A,H,-,H,H,H,H,B,B,B,H,H,H,H,B,B,A,H,A,A,H,-,H,B,B,B,H,A,B,H,B,B,B,H,B,B,B,B,B,H,B,H,B,B,H,H,H,H,B,B,H,A,-,-,H,B,B,B,H,H,H,H,A,H,A,H,H,H,H,B,A,H,H,H,B,H,B,B,H,H,H,H,H,B,B,B,B,B,A,A,A,H,H,A,A,A,H,H
0,14.7,16.44,32.2,0.472,4.084,B,B,B,-,H,H,H,A,H,H,A,H,H,H,H,H,B,B,H,H,H,B,B,B,B,H,H,B,H,H,-,A,A,A,A,H,B,H,H,H,H,-,B,-,A,A,A,A,A,A,-,H,H,B,-,-,H,H,H,H,B,B,A,A,A,A,A,A,A,A,A,A,H,A,A,A,A,H,H,H,H,A,A,A,A,A,H,H,H,H,H,A,A,A,B,H,H,H,H,A
0,14.7,22.24,46.2,0.487,3.994,A,H,H,A,B,B,B,H,H,H,H,H,A,A,B,B,B,H,A,A,B,B,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,A,A,A,H,A,B,B,B,B,H,H,H,H,H,H,H,H,-,A,H,B,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,A,A,H,H,H,H,H,B,B,H,H,B,B,B,H
0,10.4,20.03,39.2,0.47,4.167,H,H,A,H,H,H,H,H,A,B,A,A,H,A,B,B,-,B,B,B,H,H,H,B,B,A,A,B,B,B,H,B,B,H,H,B,B,H,H,H,H,H,A,-,H,B,H,-,H,-,H,H,H,B,-,H,-,B,B,B,-,-,A,A,A,A,H,A,A,-,B,B,A,A,-,A,A,-,A,A,H,B,-,-,H,H,-,-,-,A,B,H,H,-,H,A,A,A,A,H
1,6.3,20.14,44.3,0.45,3.722,H,B,H,H,H,A,A,B,B,-,H,H,H,B,A,H,H,H,B,B,H,A,A,A,A,H,B,H,H,H,H,H,H,H,H,A,A,B,B,-,B,B,B,-,-,H,A,A,A,-,A,A,A,H,-,H,A,A,H,H,H,H,A,A,H,B,B,A,H,-,H,H,B,B,B,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,B,-,H,-,A,B,B,B,B,B
1,10.6,19.41,37.9,0.455,3.923,H,H,H,B,H,H,H,H,H,H,H,H,H,A,B,B,B,B,B,B,H,A,A,H,H,A,-,A,H,H,H,A,B,H,B,H,B,B,B,B,B,B,H,B,H,B,A,A,A,A,A,A,H,H,-,H,H,A,H,H,H,H,A,A,A,H,B,A,A,A,A,A,H,H,H,H,H,H,A,A,H,A,A,A,A,H,B,B,H,H,A,A,H,H,B,H,H,A,A,A
0,11.7,18.54,40.1,0.505,3.86,B,B,H,H,-,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,A,B,B,H,H,H,H,H,-,H,H,H,A,A,A,H,A,A,A,H,H,B,B,B,B,H,H,A,A,A,A,H,H,A,-,H,H,A,A,A,H,B,H,H,H,H,H,A,A,A,H,H,B,A,A,A,A,H,H,-,H,H,H,H,H,A,B,B,B,H,A,A,A,H,B,B,B,B,B,B
0,13.8,17.05,35.1,0.503,3.828,A,A,H,B,H,H,H,B,B,B,B,B,H,B,-,B,H,A,A,A,A,A,H,B,B,H,H,H,A,H,-,B,B,H,B,A,A,A,A,A,H,-,B,B,H,-,H,H,H,H,H,H,H,A,-,-,-,B,B,B,H,H,B,B,H,H,H,-,B,B,H,-,B,B,B,B,H,B,-,H,H,B,B,B,B,A,-,H,H,H,A,A,A,A,A,B,B,H,H,H
0,22.2,22.66,45,0.522,4.248,H,H,H,A,A,-,H,H,H,B,B,B,B,B,B,B,-,H,H,H,H,H,H,B,B,A,A,A,A,A,B,H,H,H,H,H,H,A,H,H,H,H,B,B,H,H,A,A,A,A,-,H,H,A,-,H,-,H,H,A,A,A,B,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,-,B,H,H,H,H,H,H,A,A,-,A,A,A,H
0,11.5,24.24,-,0.494,3.907,H,H,H,B,B,B,H,A,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,B,B,H,B,B,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,A,A,H,-,B,B,A,H,H,H,H,H,H,H,H,A,H,A,A,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,B,B,B,H,H,H
1,8.9,17.17,32.6,0.481,3.543,B,B,B,A,B,B,B,B,B,H,H,H,A,H,H,H,H,H,-,H,H,A,A,A,H,H,H,A,A,A,A,A,A,H,A,B,B,B,H,-,H,H,H,B,H,A,H,H,H,H,H,H,H,B,-,-,H,B,H,H,H,H,H,H,H,H,A,H,H,H,H,H,B,B,B,B,B,A,A,H,H,H,A,A,A,B,B,B,B,H,H,A,A,A,A,A,A,A,A,A
1,8.6,24,46.8,0.458,3.876,H,H,B,A,H,B,B,-,A,H,H,H,B,H,A,A,A,A,A,A,B,A,A,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,-,-,H,H,A,A,A,A,A,H,-,-,H,H,H,H,H,H,A,H,H,A,A,A,B,B,B,B,B,H,H,H,H,H,H,H,H,B,A,A,A,A,B,H,H,H,H,H,-,H,H,H,A,A,H,H,H
1,3.1,24.14,48.1,0.434,3.931,A,A,B,B,-,H,H,B,B,B,B,B,B,H,H,H,B,B,-,B,H,H,H,-,A,H,H,A,A,H,H,H,H,A,A,H,H,H,H,B,B,A,-,-,A,A,H,H,H,B,B,B,B,A,-,-,B,A,A,A,H,H,-,H,A,H,A,H,H,A,A,H,H,A,A,A,A,A,H,B,B,A,A,A,A,H,H,B,H,H,-,H,H,H,H,H,A,A,A,A
1,7.6,18.01,38.6,0.49,3.836,H,A,B,A,A,A,A,-,B,B,B,B,B,B,B,B,B,B,H,B,H,B,H,B,B,A,A,H,H,B,A,H,B,B,B,H,B,B,B,-,H,H,H,H,H,H,H,H,H,H,H,A,H,H,-,H,H,A,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,A,B,B,A,H,-,A,A,H,H,A,H,H,H,H,H,A,H,H,A,A,H
1,11.2,21.42,50.2,0.509,3.787,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,H,H,H,H,H,A,A,A,B,B,A,A,H,H,H,A,H,B,A,A,H,A,A,A,A,A,H,B,H,H,-,A,A,A,A,A,A,H,H,-,H,-,B,B,H,H,A,H,H,H,H,H,B,B,H,H,A,H,H,H,A,A,H,A,A,A,B,H,H,H,H,B,B,B,H,B,B,B,B,-,A,A,H,H,-
1,8.9,18.9,37.8,0.473,3.771,B,H,B,H,H,H,B,B,B,B,B,B,B,H,H,B,-,B,B,B,H,H,H,H,H,H,A,A,A,A,H,B,B,H,H,H,H,A,H,H,H,H,-,A,B,H,H,-,H,-,A,A,H,B,-,H,-,H,H,A,-,-,A,A,A,A,A,-,H,-,H,H,H,H,H,H,H,H,A,H,A,B,-,A,H,H,H,H,A,H,B,H,H,H,H,A,H,H,H,B
1,10.4,21.75,42.3,0.495,3.868,H,H,H,B,A,A,A,H,H,B,B,B,B,H,H,B,B,B,B,B,B,H,H,B,B,H,B,B,B,H,A,H,H,H,H,H,A,A,H,H,B,H,-,B,-,B,H,H,B,H,B,B,-,H,H,H,H,H,H,H,B,H,H,H,A,H,H,H,H,B,H,-,B,B,B,B,A,H,H,B,B,A,A,A,A,A,A,A,B,A,A,H,A,H,B,H,H,H,H,A
1,10.7,19.27,40.2,0.511,3.411,B,B,H,H,H,H,H,A,A,A,A,A,A,A,A,-,A,-,H,H,H,H,H,A,A,B,B,H,H,H,-,H,H,H,H,H,H,H,H,-,A,B,-,B,A,-,A,-,A,H,H,H,A,B,B,B,-,H,H,H,B,H,H,H,-,B,B,A,H,B,B,-,H,H,H,A,A,H,A,H,H,B,B,B,-,H,B,B,B,B,B,B,-,A,A,B,H,H,H,A
1,8.7,20.19,42.7,0.501,3.852,H,H,B,H,H,H,A,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,B,H,H,H,-,-,H,B,H,A,H,B,-,B,B,A,H,B,B,H,H,B,-,B,-,-,H,H,A,H,A,-,H,H,H,H,A,H,H,-,H,B,H,H,A,-,A,-,H,A,H,H,B,A,B,-,B,B,B,H,A,A,A,A,H,H,A,A,A,H,H,A,A,A,A
1,9.3,19.81,38.8,0.504,3.907,A,-,A,-,H,H,H,H,A,A,A,A,B,A,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,-,-,A,H,H,H,B,B,B,H,H,H,H,H,B,H,H,B,-,B,H,H,H,A,A,H,H,-,A,A,A,A,A,H,H,A,H,B,H,A,H,H,H,H,H,H,H,B,H,A,A,H,A,A,H,B,A,A,B,H,H,H,H,H,H,H,B,H,H,H,H
1,14.2,23.32,45.5,0.455,3.721,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10.4,24.84,46.4,0.456,3.622,H,H,A,-,A,H,H,H,H,H,H,H,H,A,H,-,H,-,H,H,H,-,A,A,A,H,B,B,H,H,-,B,B,H,H,B,H,H,H,H,H,B,H,A,H,-,H,-,A,A,A,A,A,H,B,A,-,H,B,B,B,B,B,B,-,B,B,B,B,H,B,-,H,H,H,H,B,H,A,A,-,H,H,H,-,H,H,A,H,H,H,H,A,A,A,H,H,H,H,B
0,12,18.44,36.6,0.499,4.024,H,H,B,B,B,-,B,B,B,H,H,H,H,B,B,B,H,A,H,A,H,B,B,B,H,A,-,A,A,A,-,B,B,B,H,H,H,H,H,H,H,H,B,H,-,H,A,-,A,H,H,H,H,A,B,A,-,A,A,A,H,H,A,H,A,H,B,H,-,H,H,H,A,H,H,H,B,B,B,B,-,H,H,H,H,H,H,H,B,B,A,A,H,H,H,H,H,H,-,A
0,12.3,18.9,36.3,0.497,3.828,B,B,B,B,-,B,H,A,A,A,-,A,H,B,B,-,B,-,H,H,H,H,H,H,-,H,H,A,A,-,-,A,A,-,A,-,B,-,H,H,B,H,H,A,-,-,B,-,B,H,H,H,A,B,A,H,-,B,H,H,H,H,B,B,A,-,H,A,A,A,A,A,H,H,H,A,A,H,B,B,B,H,H,H,-,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H
0,10.1,21.4,43.7,0.47,3.939,H,H,H,H,H,H,H,B,B,H,H,H,H,B,B,B,H,H,H,H,B,H,A,A,A,H,H,H,H,H,-,A,H,B,B,A,A,H,H,H,H,H,B,H,-,H,A,-,A,A,A,H,H,B,H,B,-,A,H,H,B,H,B,H,A,H,A,H,H,-,B,B,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,A,H,A
